Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     98/2    0.001    0.000    0.498    0.249 <frozen importlib._bootstrap>:659(_load_unlocked)
      541    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      592    0.001    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\__init__.py:2079(dist_factory)
      133    0.001    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      235    0.001    0.000    0.001    0.000 {built-in method fromkeys}
    107/2    0.001    0.000    0.501    0.251 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    111/5    0.001    0.000    0.004    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
     1850    0.001    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:160(__len__)
      148    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     1109    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1903    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      339    0.001    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:249(_compile_charset)
       90    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.001    0.001    0.030    0.030 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\platform.py:3(<module>)
     74/2    0.001    0.000    0.498    0.249 <frozen importlib._bootstrap_external>:784(exec_module)
       76    0.001    0.000    0.093    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:937(parse)
      407    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       76    0.001    0.000    0.005    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:536(_compile_info)
       74    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
        1    0.001    0.001    0.001    0.001 {built-in method pygame.transform.scale}
      131    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ntpath.py:124(splitdrive)
     2019    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       26    0.001    0.000    0.010    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\traceback.py:321(extract)
      188    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:355(_escape)
     76/1    0.001    0.000    0.646    0.646 {built-in method builtins.exec}
     1811    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1069    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       80    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
      124    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:438(__setattr__)
      111    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      264    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
       74    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
     1475    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      181    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:295(_class_escape)
       18    0.001    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\__init__.py:2064(<genexpr>)
      618    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       10    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
   131/65    0.001    0.000    0.014    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
        1    0.001    0.001    0.002    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\six.py:1(<module>)
     2279    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       63    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      144    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:84(opengroup)
       27    0.001    0.000    0.012    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1039(_trim_arity)
       54    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     1352    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
