Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      335    0.002    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      306    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
      291    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\typing.py:648(_is_dunder)
      291    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\typing.py:696(__setattr__)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      266    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3270(<genexpr>)
      264    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
      244    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      244    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      243    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      235    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      231    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:432(_uniq)
      230    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      222    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      220    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      219    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      215    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      211    0.007    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
      210    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\socket.py:93(<lambda>)
      209    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\socket.py:88(<lambda>)
      208    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\socket.py:83(<lambda>)
      207    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\socket.py:78(<lambda>)
      195    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3392(<genexpr>)
      194    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:65(_combine_flags)
      188    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:355(_escape)
      188    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2656(<genexpr>)
      181    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:295(_class_escape)
      175    0.000    0.000    0.008    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:334(__call__)
      170    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2061(setWhitespaceChars)
      170    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3439(<genexpr>)
      168    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:646(__new__)
      159    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      158    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:453(_get_iscased)
      157    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      154    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:385(cached)
      154    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      152    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:595(isstring)
      149    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      148    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      148    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
    148/3    0.001    0.000    0.005    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
      144    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:84(opengroup)
      144    0.000    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:96(closegroup)
      139    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3543(<genexpr>)
      139    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      133    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
      133    0.001    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      131    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ntpath.py:124(splitdrive)
   131/65    0.001    0.000    0.008    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
   131/65    0.001    0.000    0.014    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
      130    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      127    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\six.py:88(__init__)
      124    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:438(__setattr__)
    123/2    0.000    0.000    0.494    0.247 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      122    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      120    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
      120    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      119    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\opcode.py:38(def_op)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      112    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:363(__new__)
  112/108    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:372(__init__)
      111    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    111/5    0.001    0.000    0.004    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      107    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:156(__enter__)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
      107    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
    107/2    0.001    0.000    0.501    0.251 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    107/2    0.003    0.000    0.502    0.251 <frozen importlib._bootstrap>:1002(_find_and_load)
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
      104    0.003    0.000    0.088    0.001 <frozen importlib._bootstrap>:901(_find_spec)
      104    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\traceback.py:292(walk_stack)
      104    0.000    0.000    0.005    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\traceback.py:285(line)
   101/75    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:461(_get_literal_prefix)
      100    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       99    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\collections\__init__.py:419(<genexpr>)
       99    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       99    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {built-in method sys.intern}
     98/2    0.001    0.000    0.498    0.249 <frozen importlib._bootstrap>:659(_load_unlocked)
       97    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4781(<genexpr>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:203(<genexpr>)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
